time,somsc
1980,391611.11
1981,396394.9367
1982,387399.0267
1983,377447.2533
1984,370088.73
1985,362513.5067
1986,355256.7333
1987,348647.2367
1988,342694.5867
1989,335909.4933
1990,331312.52
1991,327183.5233
1992,324071.5133
1993,320098.8633
1994,315749.4633
1995,311482.3067
1996,308467.7567
1997,305550.9233
1998,303400.4967
1999,301213.1833
2000,299860.77
2001,298354.7233
2002,298318.7533
2002,298318.7533
2002.08,298316.48
2002.17,298307.79
2002.25,298287.22
2002.33,298845.91
2002.42,298659.4233
2002.5,298585.1367
2002.58,298551.6233
2002.67,298392.4533
2002.75,298197.13
2002.83,298331.0733
2002.92,298878.2867
2003,299084.7567
2003.08,299209.57
2003.17,299348.5733
2003.25,299517.79
2003.33,300851.54
2003.42,301009.1333
2003.5,301018.4833
2003.58,300934.4067
2003.67,300907.8967
2003.75,300866.9767
2003.83,300911.6733
2003.92,301149.7133
2004,301236.5767
2004.08,301278.7433
2004.17,301304.1533
2004.25,301320.6167
2004.33,303372.41
2004.42,303595.27
2004.5,303698.5233
2004.58,303687.5233
2004.67,303632.1933
2004.75,303554.5333
2004.83,303631.9
2004.92,304017.34
2005,304353.83
2005.08,304514.54
2005.17,304771.6467
2005.25,305020.43
2005.33,306916.61
2005.42,307128.03
2005.5,307198.5033
2005.58,307083.04
2005.67,306987.3767
2005.75,306980.2267
2005.83,307130.3767
2005.92,307345.9767
2006,307432.5467
2006.08,307483.5867
2006.17,307506.1367
2006.25,307521.83
2006.33,309928.9967
2006.42,310147.7133
2006.5,310320.7067
2006.58,310393.27
2006.67,310426.82
2006.75,310324.1533
2006.83,310538.7633
2006.92,311131.04
2007,311383.49
2007.08,311559.16
2007.17,311685.8433
2007.25,311866.9033
2007.33,313393.52
2007.42,313424.6133
2007.5,313369.7967
2007.58,313328.29
2007.67,313183.2367
2007.75,312948.3867
2007.83,312944.28
2007.92,313126.7333
2008,313184.0433
2008.08,313212.02
2008.17,313228.4833
2008.25,313231.16
2008.33,315151.2833
2008.42,315383.97
2008.5,315574.4167
2008.58,315512.34
2008.67,315496.06
2008.75,315385.0333
2008.83,315725.9233
2008.92,316346.6533
2009,316548.0267
2009.08,316704.41
2009.17,316836.52
2009.25,316979.96
2009.33,318567.15
2009.42,318643.3067
2009.5,318596.52
2009.58,318392.9833
2009.67,318169.06
2009.75,318072.5167
2009.83,318092.8667
2009.92,318256.1067
2010,318297.0633
2010.08,318313.6367
2010.17,318314.4433
2010.25,318302.6367
2010.33,320177.4767
2010.42,320150.27
2010.5,320170.1433
2010.58,320026.74
2010.67,319810.9567
2010.75,319580.1767
2010.83,319857.01
2010.92,320434.2167
2011,320646.0033
2011.08,320775.4
2011.17,320920.05
2011.25,321072.5467
2011.33,322607.0467
2011.42,322667.9133
2011.5,322629.0467
2011.58,322448.7567
2011.67,322231.3233
2011.75,322000.8
2011.83,321973.9967
2011.92,322142.4433
2012,322206.3533
2012.08,322234.11
2012.17,322242.3967
2012.25,322210.2767
2012.33,324032.4267
2012.42,323904.9367
2012.5,323944.6467
2012.58,323940.6133
2012.67,323930.9333
2012.75,323837.36
2012.83,324284.9133
2012.92,324946.0867
2013,325215
2013.08,325372.4833
2013.17,325494.73
2013.25,325608.8
2013.33,327312.81
2013.42,327348.7067
2013.5,327295.4667
2013.58,327163.65
2013.67,327052.99
2013.75,326924.2167
2013.83,326869.51
2013.92,327009.6867
2014,327044.52
2014.08,327058.5633
2014.17,327064.0633
2014.25,327057.5367
2014.33,329039.59
2014.42,329146.62
2014.5,329274.8433
2014.58,329187.8333
2014.67,329086.23
2014.75,328863.92
2014.83,329101.8133
2014.92,329547.8633
2015,329759.9433
2015.08,329904.4833
2015.17,330013.75
2015.25,330134.2
2015.33,331451.6333
2015.42,331290.8133
2015.5,331109.5333
2015.58,330818.29
2015.67,330461.8533
2015.75,330108.4233
2015.83,330025.1167
2015.92,330149.8567
2016,330158.4
2016.08,330145.1633
2016.17,330116.38
2016.25,330035.31
2016.33,331720.1067
2016.42,331564.64
2016.5,331455.85
2016.58,331228.5533
2016.67,330952.16
2016.75,330627.1467
2016.83,330906.9867
2016.92,331510.74
2017,331747.46
2017.08,331889.36
2017.17,332014.5767
2017.25,332112.11
2017.33,333470.3533
2017.42,333265.5333
2017.5,333063.2433
2017.58,332719.2733
2017.67,332409.22
2017.75,332094.3633
2017.83,331986.6733
2017.92,332108.59
2018,332137.0067
2018.08,332150.2067
2018.17,332151.16
2018.25,332133.67
2018.33,333978.9933
2018.42,333924.5433
2018.5,333928.0633
2018.58,333725.7367
2018.67,333465.0367
2018.75,333172.4
2018.83,333398.4133
2018.92,334004.99
2019,334289.6333
2019.08,334473.04
2019.17,334602.5467
2019.25,334713.83
2019.33,336159.3767
2019.42,336067.9667
2019.5,335951.99
2019.58,335641.0567
2019.67,335257.89
2019.75,334867.7933
2019.83,334718.6333
2019.92,334800.6933
2020,334822.4367
2020.08,334823.8667
2020.17,334810.2267
2020.25,334766.3
2020.33,336439.5833
2020.42,336335.1567
2020.5,336304.5767
2020.58,336209.5733
2020.67,336138.3667
2020.75,336041.4933
2020.83,336301.0567
2020.92,336931.0267
2021,337169.6533
2021.08,337336.9267
2021.17,337454.2233
2021.25,337608.4433
2021.33,339138.3967
2021.42,338966.0633
2021.5,338898.3033
2021.58,338689.6333
2021.67,338452.18
2021.75,338185.0633
2021.83,338120.7133
2021.92,338239
2022,338253.52
2022.08,338248.9367
2022.17,338236.69
2022.25,338202.15
2022.33,340102.07
2022.42,339998.34
2022.5,339960.5
2022.58,339968.97
2022.67,339824.0267
2022.75,339735.22
2022.83,339840.6367
2022.92,340504.7067
2023,340734.2767
