time,n2o,ch4
2002.92,1339.038564,76.83162667
2003.92,942.5027857,72.66298667
2004.92,1505.993107,73.40032
2005.92,1110.881514,78.95402667
2006.92,1711.379843,68.4264
2007.92,1225.528464,69.04090667
2008.92,1572.975643,66.80762667
2009.92,900.1478357,65.49461333
2010.92,1343.461036,64.96149333
2011.92,705.22595,72.10933333
2012.92,861.7697786,73.55152
2013.92,694.8943571,69.53893333
2014.92,1333.5542,69.73642667
2015.92,954.6375143,60.52629333
2016.92,1281.3757,64.40037333
2017.92,768.4106571,66.41264
2018.92,1393.057679,62.57664
2019.92,763.7966286,61.34837333
2020.92,798.50595,72.184
2021.92,671.3952929,70.70410667
2022.92,811.4069071,78.55418667
