time,N2OCO2eq,CH4CO2eq
2002.92,312.4423317,7.683162667
2003.92,219.9173167,7.266298667
2004.92,351.3983917,7.340032
2005.92,259.2056867,7.895402667
2006.92,399.3219633,6.84264
2007.92,285.9566417,6.904090667
2008.92,367.02765,6.680762667
2009.92,210.034495,6.549461333
2010.92,313.4742417,6.496149333
2011.92,164.5527217,7.210933333
2012.92,201.079615,7.355152
2013.92,162.1420167,6.953893333
2014.92,311.1626467,6.973642667
2015.92,222.7487533,6.052629333
2016.92,298.9876633,6.440037333
2017.92,179.29582,6.641264
2018.92,325.0467917,6.257664
2019.92,178.2192133,6.134837333
2020.92,186.318055,7.2184
2021.92,156.6589017,7.070410667
2022.92,189.3282783,7.855418667
